"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"XYLT1" 4026 3851 6550 4294 4346 4001 4245 785 4509
"PYCARD" 140 86 100 216 86 113 126 71 120
"RPGRIP1L" 193 192 295 170 181 103 331 113 308
"MAZ" 3323 3794 6018 3610 3617 2442 3635 2449 3975
"STX4" 2043 1656 2724 2051 1806 1904 1810 1371 1734
"CDIPT" 1871 2370 3548 2356 2739 1888 2733 2611 2522
"BCKDK" 1365 1225 1782 1569 1314 803 1656 1082 1346
"KAT8" 2496 2103 3253 1996 2294 1359 2376 3231 2638
"NOMO1" 2209 1792 2127 2082 2150 1190 2130 1792 1708
"IL21R" 22 8 29 7 10 23 3 9 4
"SYT17" 194 223 206 183 221 138 282 121 214
"TMC5" 853 420 1680 864 408 427 1194 274 1429
"CCP110" 1230 1176 1313 1520 1289 557 1239 3965 1187
"VPS35L" 2823 2311 3991 2909 2887 2033 3351 1946 3499
"SLC6A2" 368 231 499 394 323 1074 260 194 208
"RNF40" 2535 2101 4223 2716 2273 2594 2935 2933 2834
"KNOP1" 817 750 1741 874 775 806 963 1024 1281
"AQP9" 1658 657 956 1576 869 2908 591 922 776
"AAGAB" 2397 2608 3582 1944 2770 1880 1947 3122 2839
"IQCH" 250 374 522 306 401 237 431 177 731
"LACTB" 1465 1249 1777 1493 1634 1639 1483 1519 1053
"CORO2B" 37 73 281 43 80 145 36 46 30
"CSK" 1028 1125 1751 1250 1281 1248 1361 990 1146
"HERC1" 2148 1720 4096 1929 2347 4536 1977 919 2876
"TRIP4" 1310 939 1727 1353 1066 1470 1308 935 1323
"MTFMT" 291 434 490 316 399 215 351 593 517
"RASL12" 296 528 88 281 532 27 605 230 394
"AP3B2" 47 42 27 63 45 20 65 101 26
"ACSBG1" 985 1256 1866 914 1395 1109 812 1415 1584
"IGDCC4" 190 283 124 161 234 136 135 287 116
"RAB11A" 19319 17186 15536 17231 16705 7995 16073 14479 14139
"CTSH" 2429 1716 2160 2606 1870 2291 2275 1827 1425
"TTC23" 818 764 1069 1142 1049 694 988 295 863
"CD276" 4655 4064 5847 4502 4729 4850 4217 2353 3519
"FAH" 1091 742 1138 1111 880 580 1532 762 1087
"CEMIP" 950 406 2452 592 552 5087 553 334 680
"RPAP1" 958 997 1403 1106 1094 492 1239 786 1221
"HOMER2" 28 40 77 35 36 56 55 37 61
"EHD4" 2032 2398 2744 3372 4496 6010 1518 1748 1503
"TMEM87A" 4526 3624 4719 4150 4302 4233 4293 4643 4019
"ZNF106" 3877 2822 5456 4614 4287 3740 3904 2292 4218
"CEP152" 1411 1184 2204 1633 1461 1329 1380 2817 2221
"ATP8B4" 852 1021 1291 1134 1223 1064 838 693 1028
"OCA2" 35 39 17 17 34 15 20 43 24
"DTWD1" 593 601 877 745 681 448 857 590 1091
"TGM5" 141 46 28 108 93 56 117 32 62
"FAM189A1" 951 1028 1198 992 1003 597 1105 1047 934
"GABPB1" 1777 1639 2213 1634 1782 1466 1710 3140 1860
"TJP1" 5731 5612 7263 4857 6188 6506 5411 8138 5834
"BMF" 387 380 482 504 470 336 491 199 319
"DMXL2" 3571 2222 3264 2729 2543 2819 2919 1090 3175
"SCG3" 4 0 8 2 0 7 3 1 2
"DNAJC17" 966 1138 1349 1085 994 667 1319 1061 1224
"EIF3J" 4387 5020 6279 4366 5066 4224 4399 13533 5340
"SPG11" 4881 3086 5619 6806 5384 5290 5219 2319 5501
"RHOV" 1041 958 738 598 1117 339 526 650 516
"VPS18" 1316 745 1389 899 928 871 916 1367 866
"OIP5" 166 228 237 214 231 97 262 239 314
"SLC30A4" 825 379 558 547 500 817 430 279 509
"BLOC1S6" 2759 3179 4151 2907 3769 2023 3313 2691 3023
"MYEF2" 226 303 437 236 336 178 388 299 714
"SGK3" 493 646 723 452 619 519 590 432 635
"PDGFRL" 2339 902 1196 3162 1795 1909 2594 712 1017
"CSPP1" 1243 1429 1881 1457 1648 1118 1661 765 2246
"ZDHHC2" 766 784 1333 785 724 757 688 392 1012
"BRF2" 887 1174 1052 977 1164 519 990 1386 920
"TRIM35" 547 571 1020 551 526 694 571 531 682
"ZFAND1" 1677 1735 2015 1779 1846 1317 1708 1652 1972
"RP1" 3 41 8 13 31 8 6 23 6
"CA2" 491 1354 999 691 959 1031 562 4133 1250
"FZD3" 509 501 642 430 492 196 690 473 651
"INTS9" 563 467 796 558 555 427 650 226 730
"RIPK2" 2317 1585 2371 2436 2378 2089 1189 1451 1011
"EYA1" 20 34 35 44 44 17 32 23 55
"NBN" 4752 1875 2874 4006 4060 3459 2353 1611 2093
"TRPA1" 176 216 90 146 186 55 106 131 86
"CPQ" 2418 2615 2308 2746 2729 1312 2596 3207 2025
"DECR1" 663 705 1054 985 1059 1284 612 871 1060
"CALB1" 0 4 6 2 1 4 2 25 1
"IMPAD1" 9812 8702 9038 9612 8269 4963 9341 10656 7040
"SFRP1" 538 451 385 576 535 1233 727 633 420
"LAPTM4B" 548 1439 898 709 1273 336 704 933 965
"UBE2W" 1398 1594 1542 1362 1647 1102 1190 1388 1335
"POP1" 265 225 388 252 202 277 302 408 398
"NIPAL2" 129 249 343 117 253 301 166 333 167
"IKBKB" 1472 807 1936 1373 1062 1168 1425 818 1799
"PLAT" 1008 917 2593 682 1058 1372 608 483 238
"JPH1" 214 321 467 294 272 99 585 63 112
"DKK4" 0 0 1 0 2 3 0 3 1
"STK3" 3630 2843 4848 3083 2921 3295 2661 2016 4039
"GDAP1" 31 80 75 39 69 31 66 40 44
"RAB2A" 8323 7121 8136 7523 7109 4449 7528 4649 6181
"EIF3E" 16783 18762 18070 16697 18044 9005 19632 20321 18016
"EMC2" 2339 2107 2329 2372 2447 1480 2505 1758 2031
"ESRP1" 5395 6194 7542 6256 6770 3569 5778 2686 6832
"CCN4" 166 56 112 112 106 112 118 37 80
"NDRG1" 32374 18553 26155 43269 20344 15745 31267 11122 13359
"ZC2HC1A" 1011 544 873 939 883 689 848 706 1426
"IL7" 1123 595 971 987 973 814 885 727 1578
"STMN2" 51 9 8 28 10 10 10 4 9
"ARMC1" 1591 1949 2082 1714 1844 1067 1862 1528 2052
"TRPS1" 207 149 235 120 163 222 126 76 170
"SPAG1" 2297 2290 2647 2262 2239 2301 2553 1399 2041
"CHRAC1" 873 894 1185 743 862 635 774 849 889
"NCALD" 264 189 113 384 228 170 382 143 150
"SNX16" 234 280 280 250 252 213 277 264 232
"GML" 1 5 1 1 0 11 0 1 2
"UBR5" 10641 8041 11118 9665 9549 7605 8346 5189 11020
"GSDMD" 2525 1396 2836 3571 2083 3464 2307 1067 2460
"TSTA3" 1277 1547 1843 1372 1532 1069 1673 2108 1330
"PYCR3" 85 116 218 94 81 85 130 168 143
"EEF1D" 12699 13169 13375 12918 13168 6455 14380 12866 11835
"ANXA13" 18 8 119 3 2 67 3 0 5
"SQLE" 17464 12025 6488 12517 10591 3170 9254 15548 5319
"SH2D4A" 3354 2827 4372 3175 2653 2084 3745 2548 3883
"INTS10" 2200 2914 2922 1943 2743 1337 2635 2613 3179
"ERI1" 3348 2947 3194 2866 2761 1829 2921 3589 2695
"SLC39A14" 2035 1626 9749 1973 1851 3473 1581 940 641
"MTMR9" 1120 761 1446 974 834 807 1198 765 1310
"LEPROTL1" 3832 4092 3328 4404 3905 2199 5415 2902 3116
"DCTN6" 2122 2485 2245 2423 2548 1435 2475 2483 1956
"R3HCC1" 444 553 491 546 551 229 747 487 407
"GSR" 3622 4322 6451 3742 4649 2111 3960 5850 5413
"TNFRSF10A" 200 210 231 309 215 698 229 286 94
"UBXN8" 491 542 509 415 500 335 662 636 529
"PPP2CB" 7930 8521 9201 7295 8511 6186 7267 17344 7118
"ERICH1" 1599 1280 2207 1570 1568 1354 2468 1309 2662
"NEFM" 15 14 225 9 7 20 4 67 11
"TUSC3" 14607 13040 5803 14283 14621 2952 13793 16173 5969
"ARHGEF10" 357 414 353 364 389 204 390 280 202
"KLHDC4" 820 780 1104 851 1092 799 1015 819 1360
"MCM4" 6623 5487 10008 8358 6422 4992 9084 10264 7978
"ADAM2" 43 12 33 32 15 37 46 5 103
"KCTD9" 2291 1506 2229 2651 1588 2033 1898 2858 1624
"FGL1" 111 80 74 104 89 17 122 63 71
"ASAH1" 7987 9524 10170 7981 9875 8327 8805 10004 8321
"BNIP3L" 13867 11086 10733 12497 10006 5866 12796 8518 7935
"MAN2B1" 3275 3398 4446 3142 3473 2891 3083 3424 2897
"KCNN4" 4052 2733 7273 4419 3368 3155 4284 2283 4555
"TULP2" 5 3 10 8 6 13 2 11 6
"NUCB1" 5959 6746 7416 7020 7586 5974 6105 6433 5017
"DHDH" 35 56 36 40 59 55 47 185 33
"GYS1" 1048 1333 3183 952 1229 1414 1450 1130 1958
"MAP4K1" 50 162 39 49 129 50 96 135 57
"CGB2" 1 0 1 0 0 0 0 0 0
"ECH1" 7893 7032 9430 9194 8575 4382 9847 5958 8139
"HNRNPL" 10464 11183 10979 10543 11082 6104 10338 14009 9869
"NFKBIB" 2465 1547 2269 1919 1667 1360 1627 1803 1336
"LHB" 1 7 0 1 1 5 2 3 0
"CGB3" 38 200 10 15 45 8 28 67 23
"TUBB4A" 3 10 1 8 8 2 1 12 1
"SARS2" 901 1038 1645 1126 1138 778 1248 745 1551
"KCNA7" 2 2 0 0 0 3 0 0 5
"SNRNP70" 5998 7166 8593 6155 7538 4623 6842 8515 6890
"CLPTM1" 4527 3806 5453 4412 3943 3318 4290 4125 3974
"RELB" 3288 1897 1771 2696 2378 1520 2052 1764 849
"CLASRP" 1879 1550 2721 1932 1809 1846 2185 1849 2195
"LIN7B" 34 73 37 42 77 21 35 72 43
"PPP1R37" 1323 1268 1826 1565 1185 948 1945 1220 1332
"FCGRT" 1623 2283 1672 1661 2272 1990 1523 2826 1404
"PIH1D1" 1585 1795 2328 1810 1860 1066 1899 1446 2040
"CKM" 4 17 3 6 7 0 4 2 7
"ARHGEF18" 1915 1614 3503 2513 1877 2631 3108 696 2493
"PPP1R13L" 4978 2390 6042 5480 3373 4036 5103 3148 3844
"PEX11G" 44 26 63 56 41 53 74 24 64
"ERCC2" 435 573 930 438 528 462 613 444 803
"DOT1L" 3766 2754 4525 3283 2704 3019 2717 3015 3731
"PLEKHJ1" 2538 2606 3959 2507 2412 2078 2391 2493 2918
"SLC17A7" 6 6 9 8 6 5 4 4 4
"RNASEH2A" 451 545 604 650 537 290 683 387 623
"KLC3" 98 120 237 110 109 122 142 94 200
"CD37" 264 346 337 363 415 428 232 297 242
"SF3A2" 2523 2436 3525 3106 2523 2194 2752 3999 2200
"AMH" 4 10 7 9 14 3 14 13 6
"DKKL1" 7 12 12 7 15 12 18 15 11
"LYL1" 76 212 73 94 191 65 74 180 83
"OAZ1" 33068 34666 30044 34551 32967 14359 29353 35213 28595
"TRMT1" 936 1241 1283 994 1257 821 1146 1715 1232
"STX10" 471 526 668 480 491 358 468 401 539
"RETN" 5 10 6 4 6 3 2 12 7
"FCER2" 12 2 2 9 2 3 4 3 0
"DMPK" 683 755 1335 644 803 705 800 853 802
"CLEC4M" 50 128 29 52 206 5 142 201 48
"RSPH6A" 3 6 0 1 3 4 5 0 5
"TBC1D17" 2581 2239 3493 2848 2488 1766 2649 2140 2292
"IL4I1" 2860 2390 3854 3861 3412 5251 3209 3303 2935
"TLE6" 623 179 468 962 221 409 984 159 569
"CCDC130" 607 929 875 683 895 542 770 1230 785
"PTOV1" 3264 3868 5337 3693 3762 2421 3531 3643 3714
"TLE5" 7246 8260 11549 8991 9751 9230 7450 6345 6985
"NOVA2" 218 280 121 252 235 33 294 123 86
"SGTA" 3976 3911 5731 4214 3952 2727 3773 5814 4091
"KIR3DX1" 3 1 91 2 1 35 1 2 1
"LILRB1" 91 28 87 187 158 761 53 30 37
"MED25" 1913 1887 2499 2585 2687 2187 1891 1617 1790
"LILRA1" 18 3 3 38 11 57 4 6 2
"SNAPC2" 206 279 476 225 265 311 269 321 245
"C19orf53" 1491 2239 1839 1615 2065 802 1688 2227 1460
"TIMM44" 1265 1422 1716 1276 1304 1010 1249 1450 1502
"CCDC61" 293 390 397 380 330 197 424 254 360
"IL27RA" 36 126 128 33 91 221 53 72 83
"ASF1B" 555 725 659 720 604 383 779 2404 720
"TNNT1" 67 131 13 69 122 18 30 164 22
"VRK3" 1731 1285 2044 1935 1636 1223 1776 1117 1619
"FAM32A" 3262 3283 4344 3502 3874 2620 3447 4566 3410
"PPP6R1" 3613 4266 6541 3677 4080 3334 3701 4684 3929
"C19orf44" 1355 1128 1714 1248 1210 1156 1346 2048 1338
"MED26" 938 766 912 813 885 583 805 1677 751
"OLFM2" 153 421 89 213 332 56 354 225 265
"RASAL3" 82 57 158 52 36 257 73 32 27
"AKAP8" 2292 2475 3184 2339 2559 1995 2347 4403 2825
"EPHX3" 37 16 17 16 15 14 35 12 13
"ILVBL" 5207 2733 3182 5133 2634 1884 4642 2509 3118
"ZNF419" 790 347 580 832 321 338 795 521 506
"SYDE1" 6583 1574 2813 6310 1662 3563 4387 2723 1611
"CASP14" 0 0 1 1 1 1 2 0 0
"SLC1A6" 5 11 10 74 14 71 12 10 6
"AURKC" 64 34 22 74 78 35 64 50 50
"POP4" 1029 1038 1545 1020 1057 768 1115 1120 1316
"CCNE1" 3032 2212 5755 3105 2163 3213 4142 5418 4196
"URI1" 2885 2467 3438 2725 2625 2309 3300 2209 3409
"PDCD5" 3364 2651 2386 2496 2681 1263 2670 2583 2331
"ANKRD27" 2689 3236 4384 3036 3777 2125 2833 1504 3631
"RPS16" 43152 47913 32993 42009 42650 13849 41199 52711 31233
"TIMM50" 1818 2360 2504 1899 2070 1352 2079 3232 2488
"LGALS13" 127 152 291 102 153 136 67 144 249
"FBL" 5032 5999 6056 5246 5770 3064 4998 6537 5647
"DYRK1B" 338 309 608 339 347 242 128 337 287
"CLC" 7 9 3 17 15 12 5 13 9
"CNTD2" 44 21 52 24 18 36 18 15 49
"GPI" 9945 7680 8736 12252 8251 4991 11944 4921 8482
"AKT2" 4042 3602 6554 4287 4546 3920 4682 2823 5178
"PLD3" 7064 6225 9111 7708 6979 9005 7743 6446 5971
"PRX" 189 307 376 308 326 180 252 191 287
"PIAS4" 1421 1374 1811 1493 1419 934 1508 1389 1443
"NUMBL" 340 332 1053 312 331 422 431 351 369
"EBI3" 2451 567 1982 4032 1131 12811 1121 1316 418
"YJU2" 691 564 989 722 720 714 736 774 812
"SHD" 5 4 10 4 6 7 1 6 11
"TBCB" 1554 1972 2337 1683 1875 1054 2023 1820 1850
"FSD1" 40 83 147 51 100 49 55 53 157
"POLR2I" 371 590 657 443 520 260 454 558 488
"OVOL3" 10 7 9 3 6 5 5 4 13
"CLIP3" 187 208 375 153 218 116 191 184 131
"ZFR2" 4 3 7 2 4 10 4 3 6
"SLC1A5" 12644 12547 17154 16158 14847 11280 9636 5941 10864
"PRKD2" 1651 1440 2424 3476 3329 3719 1384 1464 1638
"TJP3" 1479 996 1472 1570 946 539 1626 301 1227
"APLP1" 8 21 58 6 13 36 7 20 4
"CACTIN" 759 601 1139 664 726 793 845 1303 902
"CCDC9" 1508 1125 1495 1479 1449 1188 1390 1230 1015
"HNRNPUL1" 5636 4351 6124 5499 4583 3627 5787 3958 4278
"FZR1" 2355 2001 3485 2423 2274 2190 2264 3372 2234
"BBC3" 1544 810 737 1325 1120 672 847 780 502
"TGFB1" 5604 4466 7578 5850 4621 4817 5308 4243 3882
"DENND3" 1600 841 1684 1431 1121 1683 1122 344 831
"DMAC2" 1323 1235 1466 1531 1117 738 1631 1047 1327
"CEACAM4" 3 3 2 4 2 1 0 2 1
"PLIN3" 14789 11091 16080 11768 12764 7478 9287 6260 8915
"MYH14" 15 14 54 11 5 125 5 15 8
"MRPL4" 1727 2607 2968 1844 2309 1174 2207 1859 2241
"SIGLEC8" 2 0 0 3 0 2 0 0 0
"CD79A" 33 7 4 18 11 6 7 7 2
"LIM2" 0 1 21 0 0 17 0 0 1
"ICAM4" 55 39 46 41 38 32 38 77 25
"RPS19" 37458 42208 34832 42148 38737 17197 40388 46291 30797
"NOP53" 9133 9918 10690 9931 9821 5341 11544 10442 8237
"NKG7" 37 31 691 22 27 568 10 18 15
"ICAM5" 142 114 103 90 102 76 103 99 104
"ETFB" 1873 1867 2477 2255 2010 1085 2389 1433 2214
"CD33" 95 42 62 48 60 48 41 44 39
"CEACAM5" 1 0 1 1 0 0 0 2 0
"CRX" 3 2 3 4 0 1 2 2 2
"BABAM1" 3637 4111 4930 3753 4532 2193 4033 3174 4556
"TYK2" 1573 1130 2111 1689 1437 1427 1333 1028 1549
"SULT2A1" 2 0 0 2 4 3 1 2 0
"CDC37" 7585 7319 9076 7553 8022 5484 7462 10356 6293
"NAPA" 2573 2951 3159 5301 5527 5726 2518 3150 2284
"RABAC1" 2960 2763 3222 3455 2823 2535 2796 2176 2167
"ATP1A3" 1 5 4 1 2 4 0 7 2
"MEIS3" 125 216 162 118 203 77 160 175 100
"PTPRS" 169 110 252 325 122 311 172 86 145
"CNFN" 3 2 2 3 4 1 1 10 1
"ZNRF4" 0 0 0 0 0 0 0 0 0
"MEGF8" 1460 829 2677 1379 1109 911 2009 688 1938
"KDELR1" 10247 8975 10863 11570 9786 6938 8885 6541 7636
"CYTH2" 1906 1521 1975 1644 1722 1452 1978 2874 1381
"GRWD1" 1368 1393 2405 1343 1617 1805 1464 4107 1874
"GRIN2D" 104 88 175 87 102 350 108 72 90
"SYNGR4" 2 3 3 1 1 0 3 2 0
"CLEC11A" 142 347 114 143 365 148 245 374 213
"CCDC114" 21 24 28 31 32 21 53 7 41
"CARD8" 1921 2064 2807 2272 2603 1649 2485 1151 2870
"LIG1" 1432 1005 967 2133 1177 695 2271 953 1150
"SIGLEC6" 43471 18199 26057 41291 21019 15414 45431 17822 33398
"ZNF175" 2100 948 1976 2249 1080 1082 1101 1358 2330
"PLA2G4C" 417 170 102 312 184 134 312 150 65
"SIGLEC5" 155 51 140 158 138 417 67 32 85
"CABP5" 2 0 4 0 0 0 2 2 1
"HAS1" 103 23 37 72 62 36 50 51 43
"RAB3D" 1411 1465 2085 1281 1515 914 1466 1283 1428
"DBP" 128 324 412 268 573 149 267 119 241
"TMEM205" 1149 1181 1515 1053 1203 677 1142 1120 1058
"CAPS" 633 658 1335 843 744 344 919 534 1091
"PLPPR2" 191 313 424 150 267 282 175 275 148
"FAM83E" 17 13 47 12 24 111 10 25 11
"RASIP1" 167 457 196 160 335 58 263 331 129
"THEG" 1 7 1 1 1 3 0 2 2
"FGF21" 6 4 7 2 2 3 4 2 1
"BCAT2" 1404 1587 2678 1748 2049 700 2155 719 2080
"MIER2" 1162 1502 2259 1290 1994 1535 1103 1159 1372
"PLEKHA4" 670 685 557 3257 3663 2456 849 539 467
"PPP2R1A" 7077 8254 11285 7458 8374 5848 7904 8210 8339
"TNPO2" 2465 2634 4203 2453 2822 2121 2531 2896 3184
"WDR83OS" 2942 3386 3439 3051 3349 1719 3303 3851 2870
"CACNG7" 4 8 11 7 6 3 10 5 4
"GCDH" 278 358 447 311 395 269 379 545 473
"LILRB5" 100 233 151 184 502 293 54 116 54
"KLF1" 15 4 0 10 10 1 1 9 2
"DNASE2" 2283 2346 2542 2904 2645 1628 2597 2252 2196
"MAST1" 9 5 8 4 7 8 9 2 10
"LENG1" 354 421 458 382 380 344 358 534 362
"PRPF31" 2032 2400 2719 1995 2241 1347 2476 2334 2270
"TFPT" 591 574 747 561 573 502 580 789 607
"JAK3" 384 280 286 354 332 356 485 122 201
"RPL18A" 18155 20931 14767 20986 18300 6757 19156 20675 14106
"SLC5A5" 0 3 2 16 1 14 2 3 2
"KCNN1" 85 22 17 71 16 9 41 18 9
"ARRDC2" 888 922 952 845 843 538 1267 698 741
"PIK3R2" 1646 2045 3558 1708 1857 1457 2245 1134 2344
"RAB3A" 14 32 24 19 42 10 35 23 15
"PDE4C" 149 40 38 120 44 26 165 25 36
"ISYNA1" 18244 17772 34550 24141 18355 11726 19069 12682 22764
"ELL" 5476 4756 7721 6566 5613 4220 4897 5774 5445
"CRTC1" 336 349 699 334 370 355 489 251 612
"COMP" 12 14 43 19 9 69 6 25 26
"UPK1A" 32 9 8 26 9 23 20 5 12
"COPE" 5965 6946 6502 6500 6984 3623 5655 5923 5225
"DDX49" 1387 1381 1596 1406 1339 908 1705 1818 1401
"ETV2" 36 30 14 44 33 8 35 22 16
"ATP4A" 0 0 0 1 0 1 0 0 2
"ARMC6" 489 530 1039 506 581 540 614 644 901
"TMEM147" 1898 2444 2631 2002 2245 1373 2116 2328 2071
"GAPDHS" 122 84 218 103 113 119 148 83 207
"MAG" 9 7 28 49 12 95 4 14 4
"TMEM59L" 8 14 68 9 11 53 4 21 6
"HAMP" 3 7 24 5 5 33 1 15 3
"USF2" 1748 1869 2728 1900 1945 1468 1989 1462 1817
"LSR" 8460 7823 8534 9390 8827 7700 8017 12346 6053
"KXD1" 3763 3651 4126 3709 3753 2399 3798 4130 3389
"FKBP8" 11589 11408 14007 13565 11887 7574 13124 7830 9324
"SUGP1" 562 556 1040 682 723 697 786 692 824
"HPN" 27 11 22 12 16 14 15 9 16
"ZNF14" 260 394 327 342 465 183 370 449 383
"SCN1B" 71 42 120 91 88 113 39 23 20
"PBX4" 73 42 86 120 48 106 56 25 32
"ERF" 1508 2467 2810 1731 2599 1562 1697 4454 1607
"GSK3A" 2578 2820 3584 2560 2668 2201 2351 4638 2427
"ATP13A1" 1619 1323 2106 1805 1607 1414 1810 1612 1687
"ZNF574" 489 545 743 546 625 556 560 1041 451
"GRIK5" 2 12 6 8 10 8 7 2 9
"SIPA1L3" 391 478 848 501 481 569 608 163 644
"ZNF85" 143 205 248 161 230 157 217 278 298
"ETHE1" 1176 1602 1925 1426 1307 1195 1281 1248 1349
"CADM4" 59 49 132 42 49 46 64 22 51
"SMG9" 1695 1738 3028 1757 2062 1380 1451 1347 2199
"AVL9" 4506 3983 6315 4630 4461 3489 5244 3118 5281
"RUNDC3B" 14 47 46 17 18 13 23 33 22
"CFAP69" 23 38 31 28 44 13 54 24 71
"GTPBP10" 783 714 988 888 910 714 877 845 1200
"RASA4" 17 35 26 21 43 10 14 18 18
"CDK6" 7873 7206 7635 7203 9045 3597 8145 4194 8954
"PMPCB" 4719 4665 6534 4669 4809 3179 5545 5871 5769
"DNAJC2" 1663 1589 2426 1491 1694 1480 1877 3100 2241
"TFPI2" 28000 36857 9047 18283 25535 9606 17124 29709 11164
"BET1" 2302 2425 1721 2502 2638 1194 2258 1770 1912
"NAMPT" 13349 7818 7324 9309 9129 6141 8205 8481 5308
"TWISTNB" 927 1217 2642 908 1143 1128 1236 1737 1358
"PIK3CG" 54 36 110 82 89 204 42 42 27
"PON3" 80 45 34 103 36 21 44 43 47
"PON2" 4535 4508 3956 4203 4882 2909 5033 4575 3583
"ITGB8" 2161 2433 7080 1962 2911 2275 1773 1886 3895
"HBP1" 8953 9860 7767 9629 11365 5187 7551 10815 6965
"DUS4L" 371 372 503 446 363 268 518 332 504
"SP4" 193 166 209 156 119 211 157 94 158
"WDR91" 1929 1255 1621 1751 1568 792 1650 1187 1346
"DNAH11" 294 122 248 507 131 482 337 131 192
"CBLL1" 1430 1209 1678 1523 1573 1255 1364 2700 1335
"DLX5" 1875 2476 2364 2726 2574 989 1951 1779 1873
"MTPN" 10237 9204 12098 10329 9816 7807 9890 10252 9556
"STEAP1B" 598 581 404 514 574 235 579 539 423
"PTN" 4044 3095 3397 5020 2948 4076 4164 2731 3534
"MPP6" 227 295 357 229 243 184 277 366 329
"GSDME" 7815 8610 11196 7993 10024 5815 8265 11552 11241
"ATP6V0A4" 337 590 1348 428 793 473 629 325 1314
"ZC3HAV1" 1349 1048 1759 6010 7867 6538 1946 1815 1499
"TTC26" 83 121 181 63 123 51 139 83 136
"OGDH" 3977 3138 5155 2938 3474 3374 3109 3932 3635
"NPVF" 0 0 0 0 0 0 0 0 0
"ADAP1" 188 84 150 284 116 384 130 58 70
"TFEC" 213 141 153 536 467 1117 129 209 159
"H2AFV" 1945 2721 2959 1992 2585 1299 2431 2684 2508
"CAV2" 4014 5541 4449 4019 4710 3715 4345 3326 3928
"CAV1" 25167 23868 22188 22320 21723 11903 25132 14941 20909
"MET" 21972 15369 27323 24635 20818 14108 27105 11279 25636
"RNF32" 197 292 401 178 328 235 172 139 447
"LMBR1" 2849 2430 3585 2751 2666 2097 2740 1655 3407
"WNT2" 1709 3833 917 1346 3477 386 1373 3010 1345
"HOXA1" 9 1 4 5 2 16 10 1 2
"DNAJB6" 8709 7183 6797 7468 7613 4106 7568 4692 7476
"HOXA2" 0 0 1 0 1 0 0 0 0
"HOXA3" 20 7 253 24 10 64 30 3 8
"LFNG" 152 169 287 117 179 211 132 230 95
"HOXA5" 4 1 68 2 1 28 2 1 0
"HOXA6" 0 0 49 0 0 7 0 0 0
"BRAT1" 722 811 1457 911 813 770 1065 734 1017
"IQCE" 235 287 622 261 314 335 338 164 390
"ANKRD7" 6 20 36 8 11 10 27 5 45
"VIPR2" 68 33 64 73 32 41 78 43 58
"TSPAN12" 1056 1832 1093 1236 1564 531 1458 1043 1115
"SSBP1" 3803 3479 4819 3613 3579 2383 4165 3930 4750
"HOXA13" 129 222 35 134 205 32 265 171 112
"CPED1" 263 534 691 496 850 1550 208 539 208
"EVX1" 1 5 0 5 9 0 3 2 0
"HIBADH" 5820 5781 6145 5331 6395 2922 4873 3518 6195
"TAX1BP1" 14536 14125 13206 12808 14926 9041 12216 16699 11586
"CPVL" 8345 9025 5662 7996 9796 3208 8956 9027 5706
"CHN2" 3609 1463 2855 3479 2422 2011 3245 856 3737
"GRB10" 2659 2901 2927 2771 2474 2362 3041 1172 2491
"ABHD11" 1105 980 1438 1105 1032 685 1282 759 1130
"COBL" 1483 1928 2955 1943 1922 1543 1836 654 2458
"FKBP14" 1875 2040 2446 1469 1914 864 1636 1396 1856
"PLEKHA8" 7872 5587 9033 7913 6997 3982 7716 3049 8214
"STX1A" 198 173 318 138 206 183 161 125 181
"NOD1" 562 462 893 850 663 706 912 250 1047
"GARS" 13570 10405 15928 12202 9553 10162 9683 7294 10169
"CRHR2" 25 7 9 11 15 16 30 6 10
"EPHB6" 60 14 97 74 44 50 76 19 55
"MINDY4" 120 175 209 139 163 115 277 193 203
"GHRHR" 2 0 2 1 0 3 1 1 0
"CASP2" 967 975 1727 1193 1040 1000 1368 1204 1428
"CHCHD2" 9718 11739 10614 9967 10305 5244 8983 11930 10060
"CCL24" 7 6 11 6 1 3 2 1 17
"HSPB1" 10140 9015 10239 10044 11028 6872 5991 22257 5157
"NPTX2" 2 3 43 0 2 28 1 18 0
"PDAP1" 9305 7951 11628 9122 8534 6826 9277 8162 8717
"BUD31" 3305 4036 2988 3573 3816 1838 3118 4982 2850
"PTCD1" 7752 9686 9645 8262 9050 4489 7539 9768 8521
"CYP3A5" 171 62 129 72 97 86 84 74 100
"ZKSCAN1" 10512 3865 8771 9461 5634 4484 9220 4745 8455
"EIF3B" 8748 7863 13035 8311 7798 6780 9886 14503 9778
"SNX8" 1845 1713 2406 1447 1549 1530 1585 1665 1301
"NUDT1" 251 301 359 261 271 158 284 297 330
"PTPRZ1" 89 33 50 58 32 28 81 39 43
"TAF6" 1860 1819 3275 2134 1645 1291 2437 1138 2540
"WASL" 7855 7617 7306 8070 8160 5703 6931 7487 6403
"HYAL4" 355 345 420 586 477 685 383 308 489
"SPAM1" 34 26 64 43 30 25 34 24 129
"AIMP2" 1063 930 1796 973 1002 916 1238 1432 1445
"TFR2" 39 10 25 17 15 18 10 5 7
"FSCN3" 1728 1916 2231 1770 1974 909 1891 1846 1888
"MOSPD3" 101 90 140 106 78 93 107 76 94
"PAX4" 0 7 1 4 6 0 3 13 1
